CaseMonth,OnStreet,Serious_and_Fatal_Injuries
1,BROOKSIDE DRIVE,0
1,BROOKSTONE BND,0
1,BROOKTREE DRIVE,0
1,BROOKVIEW DRIVE,0
1,BROOKVIEW ROAD,0
1,BROOKWOOD ROAD,0
1,BROWER ROAD,0
1,BROWN DRIVE,0
1,BROWN ROAD,0
1,BROWN STREET,0
1,BROWNCROFT BOULEVARD,0
1,BROWNCROFT ROAD,0
1,BROWNS AVENUE,0
1,BROWNS RACE,0
1,BROWNS ROAD,0
1,BROXBOURNE DRIVE,0
1,BRU MAR DRIVE,0
1,BRUNSWICK STREET,1
1,BRUSH CREEK DRIVE,0
1,BRYAN STREET,0
1,BRYDEN PARK,0
1,BRYN MAWR ROAD,0
1,BUCK HILL ROAD,0
1,BUCKHILL ROAD,0
1,BUCKINGHAM STREET,0
1,BUCKLAND AVENUE,0
1,BUCKMAN ROAD,0
1,BUCKWHEAT DRIVE,0
1,BUELL DRIVE,0
1,BUELL ROAD,0
1,BUENA PLACE,0
1,BUFFALO ROAD,3
1,BUFFALO ROAD WEST,0
1,BULL SAW MILL ROAD,0
1,BULLS SAWMILL ROAD,0
1,BUNKER HILL DRIVE,0
1,BUNNY RUN,0
1,BUONOMO STREET,0
1,BURBANK STREET,0
1,BURBEN WAY,0
1,BURCH FARM DRIVE,0
1,BURKE TERRACE,0
1,BURKEDALE CRESCENT,0
1,BURKHARD PLACE,0
1,BURLEY ROAD,0
1,BURLEY ROAD NORTH,0
1,BURLINGTON AVENUE,0
1,BURLWOOD DRIVE,0
1,BURNETT ROAD,0
1,BURNING BRUSH DRIVE,0
1,BURNING TREE DRIVE,0
1,BURNING TREE LANE,0
1,BURNINGTREE LANE,0
1,BURR OAK DRIVE,0
1,BURRITT ROAD,0
1,BURROWS DRIVE,0
1,BURROWS HILLS DRIVE,0
1,BURROWS STREET,0
1,BURTON PLACE,0
1,BURWELL ROAD,0
1,BUTCHER ROAD,0
1,BUTLER DRIVE,0
1,BUTLER STREET,0
1,BUTTERFLY LANE,0
1,BUTTERNUT DRIVE,0
1,BUTTERWEED DRIVE,0
1,BUTTONWOOD DRIVE,0
1,BYERS COURT,0
1,BYRON STREET,0
1,C HILI AVENUE,0
1,CABIN ROAD,0
1,CABOT ROAD,0
1,CADILLAC AVENUE,0
1,CADY STREET,0
1,CAFFERY PLACE,0
1,CAIRN STREET,0
1,CALEDONIA AVENUE,0
1,CALHOUN AVENUE,0
1,CALI RIDGE,0
1,CALIFORNIA DRIVE,0
1,CALIHAN PARK,0
1,CALKINS ROAD,1
1,CALLINGHAM ROAD,0
1,CALM LAKE CIRCLE,0
1,CALUMET STREET,0
1,CALVER COURT,0
1,CAMBORNE CIRCLE,0
1,CAMBRAY DRIVE,0
1,CAMBRIA ROAD,0
1,CAMBRIA STREET,0
1,CAMBRIC CIRCLE,0
1,CAMBRIDGE COURT,0
1,CAMBRIDGE PLACE,0
1,CAMBRIDGE ROAD,0
1,CAMBRIDGE STREET,0
1,CAMDEN STREET,0
1,CAMELOT DRIVE,0
