CaseYear,OnStreet,Serious_and_Fatal_Injuries
2012,BARKER ROAD,0
2012,BARKER STREET,0
2012,BARKWOOD LANE,0
2012,BARLOW DRIVE,0
2012,BARMONT DRIVE,0
2012,BARN SWALLOW LANE,0
2012,BARNARD STREET,0
2012,BARNEY LANE,0
2012,BARNS COURT,0
2012,BARNUM STREET,0
2012,BARONS STREET,0
2012,BARRET DRIVE,0
2012,BARRETT DRIVE,0
2012,BARRETT PLACE,0
2012,BARRINGER DRIVE,0
2012,BARRINGTON HILLS,0
2012,BARRINGTON PARK,0
2012,BARRINGTON STREET,0
2012,BARROW HILL,0
2012,BARRY ROAD,0
2012,BARRY STREET,0
2012,BARTELL LANE,0
2012,BARTHOLF ROAD,0
2012,BARTLETT STREET,0
2012,BARTON STREET,0
2012,BASIN STREET,0
2012,BASKET ROAD,0
2012,BASS RUN LANE,0
2012,BASTIAN ROAD,0
2012,BASTIAN STREET,0
2012,BATEAU TERRACE,0
2012,BATTLE GREEN DRIVE,0
2012,BAUER STREET,0
2012,BAUERS CV,0
2012,BAUMAN STREET,0
2012,BAUMANN STREET,0
2012,BAUMER PLACE,0
2012,BAUSCH AND LOMB PLACE,0
2012,BAUSCH STREET,0
2012,BAUSH STREET,0
2012,BAXTER DRIVE,0
2012,BAY COLONY DRIVE,0
2012,BAY FRONT LANE,0
2012,BAY FRONT LANE NORTH,0
2012,BAY FRONT NORTH,0
2012,BAY FRONT SOUTH,0
2012,BAY KNOLL ROAD,0
2012,BAY MEADOW DRIVE,0
2012,BAY ROAD,1
2012,BAY SHORE BOULEVARD,0
2012,BAY STREET,1
2012,BAY VIEW ROAD,0
2012,BAY VILLAGE DRIVE,0
2012,BAYBERRY LANE,0
2012,BAYCLIFF DRIVE,0
2012,BAYCLIFF STREET,0
2012,BAYCREST DRIVE,0
2012,BAYLOR CIRCLE,0
2012,BAYSIDE DRIVE,0
2012,BAYTON DRIVE,0
2012,BAYVIEW DRIVE,0
2012,BAYVIEW ROAD,0
2012,BAYWAY DRIVE,0
2012,BEACH AVENUE,0
2012,BEACH STREET,0
2012,BEACON HILLS DRIVE NORTH,0
2012,BEACON HILLS DRIVE SOUTH,0
2012,BEACON HILLS DRIVE,0
2012,BEACON STREET,0
2012,BEACONSFIELD ROAD,0
2012,BEADLE ROAD,0
2012,BEAHAN ROAD,0
2012,BEAKRUSH LANE,0
2012,BEAMAN ROAD,0
2012,BEARDSLEY STREET,0
2012,BEAU LANE,0
2012,BEAUCLAIRE LANE,0
2012,BEAUFORT STREET,0
2012,BEAUMONT ROAD,0
2012,BEAVER CREEK DRIVE,0
2012,BEAVER ROAD,0
2012,BEAVER ROAD EXTENSION,0
2012,BECKENHAM LANE,0
2012,BECKWITH AVENUE,0
2012,BECKWITH ROAD,0
2012,BECKWITH TERRACE,0
2012,BEDFORD STREET,0
2012,BEDFORDSHIRE DRIVE,0
2012,BEECH HOLW,0
2012,BEECHCRAFT DRIVE,0
2012,BEECHER STREET,0
2012,BEECHWOOD DRIVE,0
2012,BEECHWOOD STREET,0
2012,BEL ARBOR TRAIL,0
2012,BELCODA DRIVE,0
2012,BELCODA ROAD,1
2012,BELFORD DRIVE,0
2012,BELGARD STREET,0
2012,BELINDA CRESCENT,0
2012,BELKNAP STREET,0
2012,BELLA DRIVE,0
2012,BELLAMY DRIVE,0
2012,BELLECLAIR DRIVE,0
2012,BELLECLAIRE DRIVE,0
2012,BELLEVUE DRIVE,0
2012,BELLWOOD DRIVE,0
2012,BELLWOOD PLACE,0
2012,BELMANOR DRIVE,0
2012,BELMEADE ROAD,0
2012,BELMONT ROAD,0
2012,BELMONT STREET,0
2012,BELMORE WAY,0
2012,BELVEDERE DRIVE,0
2012,BELVEDERE HTS,0
2012,BELVISTA DRIVE,0
2012,BEMIS WAY,0
2012,BENDING BOUGH DRIVE,0
2012,BENDING CREEK ROAD,0
2012,BENDING OAK DRIVE,0
2012,BENEDICT DRIVE,0
2012,BENEDICT ROAD,0
2012,BENJAMIN AVENUE,0
2012,BENNETT AVENUE,0
2012,BENNETT ROAD,1
2012,BENNINGTON DRIVE,0
2012,BENNINGTON GREEN LANE,0
2012,BENNINGTON HILLS COURT,0
2012,BENT OAK TRAIL,0
2012,BENTON STREET,0
2012,BENWELL ROAD,0
2012,BERCHMAN DRIVE,0
2012,BERDELL ALLEY,0
2012,BERESFORD ROAD,0
2012,BERG ROAD,0
2012,BERGEN STREET,0
2012,BERKELEY STREET,0
2012,BERKELY STREET,0
2012,BERKLEY STREET,0
2012,BERKSHIRE COURT,0
2012,BERKSHIRE DRIVE,0
2012,BERKSHIRE STREET,0
2012,BERLIN STREET,0
2012,BERMAR PARK,0
2012,BERMAR PIKE,0
2012,BERNABI ROAD,0
2012,BERNARD STREET,0
2012,BERNERCREST DRIVE,0
2012,BERNICE ROAD,0
2012,BERNICE STREET,0
2012,BERRY LANE,0
2012,BERRY STREET,0
2012,BERRYWOOD CIRCLE,0
2012,BERWICK PLACE,0
2012,BERWICK ROAD,0
2012,BERWYN STREET,0
2012,BETTERIDGE ROAD,0
2012,BETWOOD LANE,0
2012,BEULAH ROAD,0
2012,BEVERLY HTS,0
2012,BEVERLY STREET,0
2012,BICKFORD STREET,0
2012,BIDWELL TERRACE,0
2012,BIG RIDGE ROAD,0
2012,BILTMORE DRIVE,0
2012,BINNACLE POINT,0
2012,BIRCH CRESCENT,0
2012,BIRCH LANE,0
2012,BIRCHWOOD DRIVE,0
2012,BIRCHWOOD ROAD,0
2012,BIRMINGHAM DRIVE,0
2012,BIRR STREET,1
2012,BISCAYNE DRIVE,0
2012,BISHOPGATE DRIVE,0
2012,BISHOPS COURT,0
2012,BISHOPS LANE,0
2012,BISMARK TERRACE,0
2012,BITNER STREET,0
2012,BITTERNELL LANE,0
2012,BITTERSWEET DRIVE,0
2012,BITTNER STREET,0
2012,BIXBY PLACE,0
2012,BLACK CHERRY BOULEVARD,0
2012,BLACK CREEK ROAD,0
2012,BLACK DUCK TRAIL,0
2012,BLACK FOREST DRIVE,0
2012,BLACK MALLARD CIRCLE,0
2012,BLACK TERN TERRACE,0
2012,BLACK WALNUT DRIVE,0
2012,BLACK WATCH TRAIL,0
2012,BLACKWATCH TRAIL,0
